rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
1,0.4,1.25,0.1,0.9,4.093672089844104,0,10
2,0.3,1.25,0.1,0.9,4.095189278221637,0,10
3,0.6,1.25,0.1,0.9,4.097542756640357,0,10
4,0.5,1.25,0.1,0.9,4.105378845689813,0,10
5,0.2,1.25,0.1,0.9,4.11108221324754,0,10
6,0.6,1.5,0.1,0.9,4.111518782951759,0,10
7,0.5,1.5,0.1,0.9,4.117101041394314,0,10
8,0.0,1.5,0.1,0.9,4.117265089080867,0,10
9,0.2,1.5,0.1,0.9,4.131406999525294,0,10
10,0.6,1.25,0.2,0.9,4.136021541401004,0,10
11,0.1,1.5,0.1,0.9,4.136771429316135,0,10
12,0.7,1.5,0.1,0.9,4.137043795795271,0,10
13,0.7,1.25,0.1,0.9,4.13809162008842,0,10
14,0.4,1.5,0.1,0.9,4.1426674663233225,0,10
15,0.3,1.5,0.1,0.9,4.149634167735024,0,10
16,0.0,1.25,0.0,0.9,4.1539264636685775,4,9
17,0.1,1.25,0.0,0.9,4.1539264636685775,4,9
18,0.2,1.25,0.0,0.9,4.1539264636685775,4,9
19,0.3,1.25,0.0,0.9,4.1539264636685775,4,9
20,0.4,1.25,0.0,0.9,4.1539264636685775,4,9
21,0.5,1.25,0.0,0.9,4.1539264636685775,4,9
22,0.6,1.25,0.0,0.9,4.1539264636685775,4,9
23,0.7,1.25,0.0,0.9,4.1539264636685775,4,9
24,0.6,1.5,0.2,0.9,4.158886047052062,0,10
25,0.6,1.25,0.25,0.9,4.166418766612614,0,10
26,0.1,1.25,0.1,0.9,4.172286352833657,0,10
27,0.0,1.75,0.1,0.9,4.1879742317342785,0,10
28,0.6,2.0,0.2,0.9,4.189275074586658,0,10
29,0.6,1.5,0.25,0.9,4.189522722293706,0,10
30,0.7,1.25,0.2,0.9,4.1898544320324165,0,10
31,0.7,1.5,0.2,0.9,4.192181202598818,0,10
32,0.1,2.0,0.1,0.9,4.197213390251796,0,10
33,0.1,1.75,0.1,0.9,4.199038487438451,0,10
34,0.6,1.25,0.3,0.9,4.200289889108221,0,10
35,0.5,1.25,0.2,0.9,4.201351621345879,0,10
36,0.6,2.25,0.2,0.9,4.206003969898036,0,10
37,0.0,1.25,0.1,0.9,4.207972260487848,0,10
38,0.7,2.5,0.1,0.9,4.208214622332364,0,10
39,0.6,2.0,0.25,0.9,4.210152346371787,0,10
40,0.0,2.0,0.1,0.9,4.210403562793295,0,10
41,0.2,2.0,0.1,0.9,4.214124955160193,0,10
42,0.6,2.25,0.1,0.9,4.214286477503519,0,10
43,0.4,1.25,0.2,0.9,4.217570528204125,0,10
44,0.7,1.5,0.25,0.9,4.218534656189977,0,10
45,0.6,1.5,0.3,0.9,4.2197478383682805,0,10
46,0.7,1.25,0.25,0.9,4.220337500237465,0,10
47,0.5,1.5,0.2,0.9,4.22039717696091,0,10
48,0.0,2.25,0.1,0.9,4.22060527272351,1,9
49,0.1,2.25,0.1,0.9,4.220960100129819,0,10
50,0.6,2.0,0.1,0.9,4.222803997070759,0,10
51,0.6,2.25,0.25,0.9,4.2350958633308275,0,10
52,0.6,2.0,0.3,0.9,4.2365338460274415,0,10
53,0.2,1.75,0.1,0.9,4.237509829793671,0,10
