rank,threshold,net_vol_pct
1,0.92,4.05720400675363
2,0.91,4.060057498748678
3,0.99,4.078401145710588
4,0.64,4.082884025281739
5,0.65,4.083631262756686
6,0.66,4.083680838240102
7,0.69,4.086288711013976
8,0.67,4.086348738780123
9,0.68,4.089487851385057
10,0.7,4.089872505429046
11,0.73,4.090238987242919
12,0.74,4.0916428152896955
13,0.9,4.094088154702404
14,0.76,4.094335866254708
15,1.0,4.098082513251561
16,0.75,4.099025469172791
17,0.93,4.10497499124088
18,0.89,4.105997157632254
19,0.71,4.10722264422436
20,0.78,4.108318651141453
21,0.98,4.108862967816126
22,0.72,4.113041179552153
23,0.77,4.113800631531747
24,0.63,4.114194718710158
25,0.79,4.115747909813348
26,0.97,4.120959681877599
27,0.88,4.125225569562494
28,0.86,4.1256687254369595
29,0.87,4.126780037930425
30,0.95,4.130582813464263
31,0.85,4.1331357637635575
32,0.62,4.133635998103818
33,0.94,4.133792657878037
34,0.83,4.134794960136529
35,0.82,4.135479904336852
36,0.84,4.1370978175560325
37,0.61,4.142584471959125
38,0.8,4.146852832094057
39,0.81,4.146887400922809
40,0.96,4.160544340341723
41,0.42,4.172890748485132
42,0.6,4.173587940055146
43,0.4,4.180443885519443
44,0.51,4.181169232172891
45,0.53,4.186164938345344
46,0.52,4.187821442270787
47,0.41,4.188534226622735
48,0.43,4.188775949234951
49,0.58,4.1927470333567625
50,0.5,4.193334313265051
51,0.39,4.193799969070702
52,0.48,4.195254466760293
53,0.59,4.197526625940462
54,0.54,4.197755241047773
55,0.44,4.199507983276911
56,0.49,4.2042087421578485
57,0.57,4.212001734558773
58,0.45,4.217980570755429
59,0.47,4.221616662779148
60,0.55,4.222262426453725
61,0.56,4.230540623382337
62,0.46,4.235104253175238
63,0.38,4.274575498912832
64,0.37,4.3470568115236405
65,0.36,4.351350311668524
66,0.34,4.360467225323249
67,0.35,4.372199170364662
68,0.33,4.406810427143759
69,0.32,4.474789390300343
70,0.31,4.497725567450887
71,0.22,4.528436448749444
72,0.3,4.541254126158989
73,0.21,4.542249855955146
74,0.25,4.545009099691604
75,0.2,4.5503566015333545
76,0.27,4.556989122494208
77,0.26,4.557848598922135
78,0.29,4.567808235004517
79,0.19,4.572522801160284
80,0.18,4.579670386326538
81,0.23,4.58293934151092
82,0.28,4.583472434425258
83,0.16,4.586491031802107
84,0.17,4.59559428373324
85,0.15,4.596256387778785
86,0.24,4.621237010396397
87,0.13,4.63676617157172
88,0.14,4.6403780124753675
89,0.12,4.646869925264783
90,0.11,4.6730803256599165
91,0.1,4.707663498201
92,0.09,4.745647637290254
93,0.01,4.764798771113391
94,0.0,4.766563963887993
95,0.05,4.76956223387773
96,0.02,4.775028310611266
97,0.07,4.77511379306141
98,0.08,4.782527198943713
99,0.03,4.785834120270785
100,0.04,4.79324564585532
101,0.06,4.807031490750621
