rank,alpha,net_vol_pct
1,0.0,3.834260362674264
2,0.01,3.834678811275014
3,0.02,3.8352938830888057
4,0.03,3.8358201409391377
5,0.04,3.8362134160219297
6,0.05,3.836764275172419
7,0.06,3.837466920574962
8,0.07,3.8385709036916458
9,0.08,3.8396841833954385
10,0.09,3.840750638555327
11,0.1,3.8418036135977878
12,0.11,3.842840224827844
13,0.12,3.8438139788525527
14,0.13,3.844687134028875
15,0.14,3.8456211784538072
16,0.15,3.8466352141542455
17,0.16,3.847698188261751
18,0.17,3.8488858088658353
19,0.18,3.8500812408672744
20,0.19,3.8511841500922808
21,0.2,3.8523137641232394
22,0.21,3.8533335653253564
23,0.22,3.854504721300293
24,0.23,3.855857007570642
25,0.24,3.8572198940469002
26,0.25,3.8588193005426255
27,0.26,3.8604402201600156
28,0.27,3.8620495193731905
29,0.28,3.86365352814963
30,0.29,3.8652847854197314
31,0.3,3.8669571999904324
32,0.31,3.8688185203719145
33,0.32,3.870996272253292
34,0.33,3.873291881144566
35,0.34,3.8757355571137473
36,0.35,3.87827741877485
37,0.36,3.880798220939044
38,0.37,3.8835423085711356
39,0.38,3.886325516293517
40,0.39,3.8891045150675643
41,0.4,3.8918920495674754
42,0.41,3.894567903451391
43,0.42,3.897212156629
44,0.43,3.899941169510667
45,0.44,3.9026978159449235
46,0.45,3.9054717474430065
47,0.46,3.9083097623259047
48,0.47,3.911157583138093
49,0.48,3.9140107330285634
50,0.49,3.9169320387086364
51,0.5,3.919888523213169
52,0.51,3.9228484691010075
53,0.52,3.9257583740024105
54,0.53,3.9287180516209745
55,0.54,3.9317911243624173
56,0.55,3.9348882645692704
57,0.56,3.93799087038261
58,0.57,3.9412862267884896
59,0.58,3.944652930685984
60,0.59,3.9480622833685928
61,0.6,3.951636213863071
62,0.61,3.9552269115783196
63,0.62,3.9588672654547943
64,0.63,3.9627000567221877
65,0.64,3.9665882253576443
66,0.65,3.9705333094371085
67,0.66,3.9745405771285713
68,0.67,3.9783902556723754
69,0.68,3.982134952380989
70,0.69,3.985895833061222
71,0.7,3.9896943905860383
72,0.71,3.993504373569792
73,0.72,3.99737503321343
74,0.73,4.001191354916281
75,0.74,4.0049534549747845
76,0.75,4.008747054582453
77,0.76,4.01263531825284
78,0.77,4.016635642492236
79,0.78,4.020853479146409
80,0.79,4.025127173859879
81,0.8,4.029404255283646
82,0.81,4.033736872440016
83,0.82,4.037984314361091
84,0.83,4.04236813320641
85,0.84,4.046852786817223
86,0.85,4.051526096413687
87,0.86,4.056430763751335
88,0.87,4.061508381994595
89,0.88,4.066642884075293
90,0.89,4.071655028178394
91,0.9,4.076700497565621
92,0.91,4.08189514773061
93,0.92,4.0873402997370825
94,0.93,4.092902284835185
95,0.94,4.098266917925686
96,0.95,4.103746091762655
97,0.96,4.109347924125413
98,0.97,4.115150464191957
99,0.98,4.1211356360650955
100,0.99,4.127337770958206
101,1.0,4.13363369247962
