method,n_months,first_date,last_date,conditioned_windows,min_rank,mean_correlation_identity_shrinkage_alpha
AIQ,300,2000-01-31,2024-12-31,0,10,
HC,300,2000-01-31,2024-12-31,0,10,
LS1,300,2000-01-31,2024-12-31,0,10,
LS2,300,2000-01-31,2024-12-31,0,10,
LS3,300,2000-01-31,2024-12-31,0,10,
LS4,300,2000-01-31,2024-12-31,0,10,
LS5,300,2000-01-31,2024-12-31,0,10,
NLS6,300,2000-01-31,2024-12-31,0,10,
NLS7,300,2000-01-31,2024-12-31,0,10,
NLS8,300,2000-01-31,2024-12-31,0,10,
CRE,300,2000-01-31,2024-12-31,0,10,
SRE_STAR,300,2000-01-31,2024-12-31,0,10,
GS_STAR,300,2000-01-31,2024-12-31,19,8,
ID_KAPPA,300,2000-01-31,2024-12-31,0,10,0.03791421035933823
EW,300,2000-01-31,2024-12-31,0,10,
